Aesthetic,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_Luminance,Mean_Saturation,Contrast,Color1_R,Color1_G,Color1_B,Color1_Hue,Color2_R,Color2_G,Color2_B,Color2_Hue,Color3_R,Color3_G,Color3_B,Color3_Hue,Color4_R,Color4_G,Color4_B,Color4_Hue,Color5_R,Color5_G,Color5_B,Color5_Hue
Vintage,199.8,176.8,150.4,35.61684994493477,41.17474954386486,41.98856987324051,179.78371999999996,0.261002728522821,116.45799999999997,140,110,88,183,154,121,211,194,173,243,230,209,222,196,161,25.38461538461539,31.935483870967733,33.157894736842096,37.0588235294118,34.426229508196734
Vintage,189.0,161.2,130.0,42.656769685479,50.83069938531242,54.21070005082023,164.85764,0.34174194965798166,139.9686,122,90,62,197,165,125,217,194,166,245,234,212,164,123,85,28.0,33.333333333333336,32.941176470588225,39.999999999999964,28.860759493670887
Vintage,170.8,146.2,123.4,61.66165745420731,65.56340442655491,57.329224658981744,149.7838,0.313079579231132,171.42880000000002,78,54,41,125,90,79,184,158,132,222,201,165,245,228,200,21.081081081081074,14.347826086956525,30.0,37.894736842105246,37.33333333333335
Vintage,180.2,133.4,104.0,46.09728842350708,51.429952362412315,46.13458572481171,141.227,0.44591579464925585,141.00359999999998,106,69,52,182,128,95,212,165,126,241,213,181,160,92,66,18.88888888888888,22.75862068965517,27.209302325581397,32.00000000000001,16.59574468085106
Vintage,169.8,147.6,130.0,49.345313860588625,49.92233968876059,45.457672619701945,151.04899999999998,0.24680579939589437,147.63619999999997,86,68,61,155,128,113,200,178,157,233,217,197,175,147,122,16.79999999999999,21.42857142857144,29.302325581395337,33.33333333333332,28.30188679245281
Vintage,146.8,118.0,101.2,56.841534110190935,56.55793489865061,48.90971273683786,122.90991999999999,0.3365264426689136,162.1216,62,42,37,110,75,65,177,146,123,228,205,179,157,122,102,11.99999999999999,13.33333333333334,25.55555555555555,31.83673469387756,21.81818181818182
Vintage,191.6,163.2,140.0,42.46692830897945,45.72701608458615,44.93550934394758,167.56279999999998,0.28243050306872486,133.9422,120,94,79,175,140,118,210,189,161,247,230,213,206,163,129,21.951219512195127,23.15789473684212,34.285714285714306,30.0,26.49350649350648
Vintage,162.2,133.6,111.0,52.120629313161594,54.07624247301212,52.306787322488084,138.04864000000003,0.3424176560318645,153.7806,90,67,56,156,114,89,191,164,138,243,222,200,131,101,72,19.411764705882355,22.388059701492544,29.433962264150964,30.697674418604667,29.491525423728817
Vintage,140.0,112.2,100.4,50.730661340061395,53.80111523007679,47.20847381561916,117.25832,0.30980675263380314,152.6374,69,46,42,116,78,71,169,140,123,219,201,179,127,96,87,8.88888888888889,9.333333333333341,22.17391304347828,33.00000000000001,13.499999999999993
Vintage,182.8,151.0,121.8,47.148276744754945,52.956585992678946,53.33441665566429,155.65244,0.36054809909531615,148.4488,110,81,61,182,147,106,213,183,147,249,232,212,160,112,83,24.489795918367335,32.36842105263157,32.72727272727273,32.43243243243242,22.597402597402596
Vintage,174.2,144.8,126.0,40.05695944526993,46.06690786236906,41.48734746883681,149.69308,0.2948910622689227,134.94979999999998,112,76,64,158,125,109,195,165,145,233,216,190,173,142,122,15.0,19.59183673469387,24.00000000000002,36.27906976744186,23.529411764705877
Vintage,162.0,131.6,114.0,49.07137658554119,52.09452946327474,47.391982444291145,136.79232,0.3224899914245231,150.14799999999997,85,56,47,143,106,92,197,165,142,229,209,187,156,122,102,14.21052631578947,16.470588235294127,25.090909090909093,31.428571428571423,22.22222222222222
Vintage,147.8,120.2,98.8,51.413616873353696,48.30072463224543,40.385145784062736,124.52268000000001,0.34439696820025395,141.75020000000004,74,56,46,122,90,73,178,146,116,226,197,165,139,112,94,21.428571428571423,20.816326530612255,29.032258064516125,31.475409836065584,24.0
Vintage,167.8,132.8,109.0,45.89291884376064,50.07354590999124,45.92167244341173,138.52263999999997,0.37486986363862995,138.9314,102,69,56,161,123,98,199,164,138,235,211,182,142,97,71,16.95652173913043,23.809523809523814,25.57377049180329,32.830188679245275,21.97183098591548
Vintage,183.6,152.2,131.2,47.18304780321,51.63487193748039,49.62015719443057,157.35944,0.30953438041320813,147.8752,106,75,58,160,126,105,210,187,162,244,226,204,198,147,127,21.250000000000004,22.909090909090917,31.249999999999993,32.999999999999964,16.90140845070421
Vintage,153.0,117.6,102.4,51.384822661949514,50.76061465348898,43.28787359064892,124.02860000000001,0.3533795686555635,148.69639999999998,77,47,41,123,87,77,183,143,122,228,197,170,154,114,102,10.000000000000004,13.04347826086957,20.655737704918028,27.93103448275863,13.84615384615385
